,ticker1,ticker2,date
0,RIH4,RIM4,2024-03-21
1,RIM4,RIU4,2024-06-20
2,RIU4,RIZ4,2024-09-19
3,RIZ4,RIH5,2024-12-19
4,RIH5,RIM5,2025-03-20
5,RIM5,RIU5,2025-06-19
6,RIU5,RIZ5,2025-09-18
