,ticker1,ticker2,date
0,MNH4,MNM4,2024-03-21
1,MNM4,MNU4,2024-06-20
2,MNU4,MNZ4,2024-09-19
3,MNZ4,MNH5,2024-12-20
4,MNH5,MNM5,2025-03-20
5,MNM5,MNU5,2025-06-20
6,MNU5,MNZ5,2025-09-18
