,ticker1,ticker2,date
0,R2M4,R2U4,2024-07-11
1,R2U4,R2Z4,2024-09-18
2,R2Z4,R2H5,2024-12-20
3,R2H5,R2M5,2025-03-18
4,R2M5,R2U5,2025-06-19
5,R2U5,R2Z5,2025-09-18
