,ticker1,ticker2,date
0,AKH4,AKM4,2024-03-22
1,AKM4,AKU4,2024-06-20
2,AKU4,AKZ4,2024-09-19
3,AKZ4,AKH5,2024-12-19
4,AKH5,AKM5,2025-03-20
5,AKM5,AKU5,2025-06-20
6,AKU5,AKZ5,2025-09-19
