,ticker1,ticker2,date
0,SiH4,SiM4,2024-03-21
1,SiM4,SiU4,2024-06-20
2,SiU4,SiZ4,2024-09-19
3,SiZ4,SiH5,2024-12-19
4,SiH5,SiM5,2025-03-20
5,SiM5,SiU5,2025-06-19
6,SiU5,SiZ5,2025-09-18
