,ticker1,ticker2,date
0,PTH4,PTM4,2024-03-21
1,PTM4,PTU4,2024-06-20
2,PTU4,PTZ4,2024-09-20
3,PTZ4,PTH5,2024-12-20
4,PTH5,PTM5,2025-03-21
5,PTM5,PTU5,2025-06-19
6,PTU5,PTZ5,2025-09-19
