,ticker1,ticker2,date
0,WUH4,WUM4,2024-03-22
1,WUM4,WUU4,2024-06-20
2,WUU4,WUZ4,2024-09-19
3,WUZ4,WUH5,2024-12-20
4,WUH5,WUM5,2025-03-19
5,WUM5,WUU5,2025-06-20
6,WUU5,WUZ5,2025-09-18
